id,distance,atd,model,year
118326,4.809138139088948,-1.5480968952178955,TPO-Retriever,2018
215071,5.932421604792277,3.206233501434326,TPO-Retriever,2018
245185,3.355189323425293,1.012429118156433,TPO-Retriever,2018
483332,4.968601147333781,3.9435534477233887,TPO-Retriever,2018
555356,4.54924339056015,5.527771890163422,TPO-Retriever,2018
793127,5.4193878173828125,1.3265204429626465,TPO-Retriever,2018
844260,2.869295120239258,0.6752718687057495,TPO-Retriever,2018
1326753,4.754612286885579,2.054349422454834,TPO-Retriever,2018
2072393,5.637086013952891,7.361426055431366,TPO-Retriever,2018
2354160,7.354364554087321,4.960720062255859,TPO-Retriever,2018
2387904,4.174152533213298,1.5273902416229248,TPO-Retriever,2018
2391894,4.327956140041351,5.186583459377289,TPO-Retriever,2018
2889473,5.4174221356709795,-1.6579666137695312,TPO-Retriever,2018
2908547,4.109997828801473,2.469970226287842,TPO-Retriever,2018
3213453,4.10496457417806,4.639180660247803,TPO-Retriever,2018
3387837,6.150448481241862,4.157548666000366,TPO-Retriever,2018
3421317,3.755585511525472,1.6674304008483887,TPO-Retriever,2018
3561294,5.711830774943034,-1.567169427871704,TPO-Retriever,2018
3597598,5.843703031539917,4.45349907875061,TPO-Retriever,2018
3903599,7.748864968617757,2.312197685241699,TPO-Retriever,2018
3956173,6.191837390263875,4.141274690628052,TPO-Retriever,2018
4104206,5.1202824513117475,5.499739289283752,TPO-Retriever,2018
4106076,4.856101791063945,4.634003043174744,TPO-Retriever,2018
4534527,5.850386301676433,4.828745365142822,TPO-Retriever,2018
4658330,5.982407808303833,3.9813644886016846,TPO-Retriever,2018
5391414,4.931661605834961,-0.8418381214141846,TPO-Retriever,2018
5665600,5.702764471371968,5.822137475013733,TPO-Retriever,2018
5795790,4.814575115839641,-0.7062457799911499,TPO-Retriever,2018
6524853,4.155966912706693,5.898717179894447,TPO-Retriever,2018
6528060,4.863772869110107,5.720495939254761,TPO-Retriever,2018
7353969,4.221062541007996,4.546063542366028,TPO-Retriever,2018
7368893,6.006233215332031,3.885636806488037,TPO-Retriever,2018
7408628,4.870254337787628,5.937265455722809,TPO-Retriever,2018
7760803,4.4761130809783936,2.3044681549072266,TPO-Retriever,2018
9012366,5.344165941079457,6.95004016160965,TPO-Retriever,2018
9480203,3.942877769470215,3.8763134479522705,TPO-Retriever,2018
9753216,6.37885598341624,6.65003502368927,TPO-Retriever,2018
10253887,5.870036760965983,7.317240238189697,TPO-Retriever,2018
11820224,7.576744397481282,0.057904720306396484,TPO-Retriever,2018
11885687,4.7167178591092425,5.667587339878082,TPO-Retriever,2018
12068717,4.646797815958659,6.263373136520386,TPO-Retriever,2018
12444944,4.019394179185231,5.513143956661224,TPO-Retriever,2018
12977597,6.4707692464192705,1.9160597324371338,TPO-Retriever,2018
13198770,4.560591061909993,0.28096652030944824,TPO-Retriever,2018
13628706,5.410510937372844,6.335948705673218,TPO-Retriever,2018
13778724,5.768494526545207,-1.4318562746047974,TPO-Retriever,2018
14597011,5.336144765218099,-0.22573494911193848,TPO-Retriever,2018
14610988,6.8839841683705645,6.921991586685181,TPO-Retriever,2018
14912368,6.135931968688965,0.2778031826019287,TPO-Retriever,2018
15160657,6.473199288050334,-3.255374312400818,TPO-Retriever,2018
15683421,5.0423251787821455,0.19606900215148926,TPO-Retriever,2018
16189822,6.629928270975749,7.985869884490967,TPO-Retriever,2018
16216721,5.970634659131368,7.610536456108093,TPO-Retriever,2018
17308558,6.020873000224431,-4.284267529845238,TPO-Retriever,2018
17507623,4.23995178937912,5.932376325130463,TPO-Retriever,2018
17879765,2.0298693974812827,-0.27689433097839355,TPO-Retriever,2018
20154370,7.054907878239949,8.377928972244263,TPO-Retriever,2018
20631652,7.27223555246989,-0.8457839488983154,TPO-Retriever,2018
21421816,6.190722624460856,0.6184282302856445,TPO-Retriever,2018
21520238,3.7756104469299316,2.2894914150238037,TPO-Retriever,2018
22113453,6.349941253662109,-0.37003040313720703,TPO-Retriever,2018
22228693,6.116872986157735,7.464253783226013,TPO-Retriever,2018
22306905,6.552154064178467,6.905007362365723,TPO-Retriever,2018
