Value,Metric,Year
29.61,NDCG5,2018
33.62,NDCG10,2018
29.67,NDCG5,2019
34.49,NDCG10,2019
31.25,NDCG5,2020
35.77,NDCG10,2020
37.85,NDCG5,2021
41.05,NDCG10,2021
